Ano   | Valor A | Valor B | ID    | Ano de Referência | Taxa
2024  | 150.75  | 234.89  | 98765 | 2023              | 4.56%
2023  | 210.45  | 345.78  | 87654 | 2022              | 6.79%
2022  | 190.30  | 456.67  | 76543 | 2021              | 7.89%
2021  | 220.55  | 567.56  | 65432 | 2020              | 8.90%
2020  | 180.25  | 678.45  | 54321 | 2019              | 9.01%
2019  | 250.75  | 789.34  | 43210 | 2018              | 1.12%
2018  | 230.60  | 890.23  | 32109 | 2017              | 1.23%
2017  | 260.85  | 901.12  | 21098 | 2016              | 2.34%
2016  | 240.40  | 123.01  | 10987 | 2015              | 3.45%
2015  | 270.95  | 234.90  | 9876  | 2014              | 4.56%
